User Name,Referrer_User Name,Current Level,Activation sequence,Activation_time,Total NFT claim
0x252Fc86A6fAe1CaE71bA0835c59E94405B545657,0x252Fc86A6fAe1CaE71bA0835c59E94405B545657,1,0,10/15/2025 0:00,
0x4CE8749E764725764361528104C4B90823f51088,0x252Fc86A6fAe1CaE71bA0835c59E94405B545657,1,1,10/15/2025 0:03,
0x85221af74CF9c29150E02bAA6062eBCaC4860De5,0x4CE8749E764725764361528104C4B90823f51088,1,2,10/15/2025 0:06,
0x8231888272Ace13c22332DcFdd86d991Bcb433D4,0x20806c7c28d63565151fe8221e06c24d40e334fa,1,3,10/15/2025 0:09,
0x6ddf65254b3632b845ed62f721e8543d1826a104,0x8231888272Ace13c22332DcFdd86d991Bcb433D4,1,4,10/15/2025 0:12,
0xE31E16CCE680B8473157430d2Aa023fD55002D7d,0x8231888272ace13c22332dcfdd86d991bcb433d4,1,5,10/15/2025 0:15,
0x3e8a86f94436Bb9dCf70f89730A69C65Bf31e59C,0x24e95eac37b1ec99a07af35148a176babf75204d,1,6,10/15/2025 0:18,
0xAa3e634782CE721812382e661c097d79e8Ff9231,0x3e8a86f94436Bb9dCf70f89730A69C65Bf31e59C,1,7,10/15/2025 0:21,
0xb15f94b308f0525f3a830df0f13845f5fbb28391,0xAa3e634782CE721812382e661c097d79e8Ff9231,1,8,10/15/2025 0:24,
0xd8dcCBEb122213BbE5f47bd02a0762Fa4AfBd0C1,0xb0431834c4080628fea481e21bd488402fd1b5f4,1,9,10/15/2025 0:27,
0x2d409c0484dd6562387bffbfc8516dbfcc23e324,0xa90a33a27a7fb81cc934137326253a4f8de4c722,1,10,10/15/2025 0:30,
0x5307470bfd9d4686815ea962ba590d92eae2fd4c,0xa90a33a27a7fb81cc934137326253a4f8de4c722,1,11,10/15/2025 0:33,
0x289e0eec6b09362ff915d4cb9ea856a3d31d1495,0x5307470bfd9d4686815ea962ba590d92eae2fd4c,1,12,10/15/2025 0:36,
0x3917d345a36a89f1a80e0bb38b58dac5dd785e99,0xa90a33a27a7fb81cc934137326253a4f8de4c722,1,13,10/15/2025 0:39,
