wallet_address,referrer_wallet,payment_datetime,total_payment
P1,P1,2025/10/15 0:00,130
PP1,P1,2025/10/15 1:03,130
PP2,PP1,2025/10/15 1:06,130
PP3,PP2,2025/10/15 1:09,130
PP4,PP3,2025/10/15 1:12,130
PP5,PP4,2025/10/15 1:15,130
PP6,PP5,2025/10/15 1:18,130
PP7,PP6,2025/10/15 1:21,130
PP8,PP7,2025/10/15 1:24,130
PP9,PP8,2025/10/15 1:27,130
PP10,PP9,2025/10/15 1:30,130
PP1,P1,2025/10/16 2:00,150
PP2,PP1,2025/10/16 2:05,150
PP3,PP2,2025/10/16 2:10,150
PP4,PP3,2025/10/16 2:15,150
PP5,PP4,2025/10/16 2:20,150

