Row,Member_Wallet,Missing_Sponsor,Activation_Sequence
12,0x2d409c0484dd6562387bffbfc8516dbfcc23e324,0xa90a33a27a7fb81cc934137326253a4f8de4c722,10
13,0x5307470bfd9d4686815ea962ba590d92eae2fd4c,0xa90a33a27a7fb81cc934137326253a4f8de4c722,11
15,0x3917d345a36a89f1a80e0bb38b58dac5dd785e99,0xa90a33a27a7fb81cc934137326253a4f8de4c722,13
31,0x85781f556f8b22eee93e3c14e294f7d5b9682159,0xa90a33a27a7fb81cc934137326253a4f8de4c722,29
32,0x92fb1d80ee64b2f68cb6faf511e62962b6707e47,0xa90a33a27a7fb81cc934137326253a4f8de4c722,30
35,0xaf30206a8fc68a9a302007800658b87ace8f24a2,0xa90a33a27a7fb81cc934137326253a4f8de4c722,33
37,0x90f79bf6eb2c4f870365e785982e1f101e93b906,0x3c5de92c27e87026d8980225c0ee23d78a4d76dc,35
39,0xe568f3d832515e02638cba3f7d9a4108a7be496f,0xa90a33a27a7fb81cc934137326253a4f8de4c722,37
45,0xb6bfab0a9fbbd2aa227320c34684750a995564ef,0xa90a33a27a7fb81cc934137326253a4f8de4c722,43
46,0xad50ef4595f5d337cdf91e33288d71c6215eb4f7,0xa90a33a27a7fb81cc934137326253a4f8de4c722,44
49,0x2a81c8d504aa6a75d8f5c141ac841f355c22ada2,0xcba12260e0d713bb907bbe1fadada21a50a98578,47
57,0x8d9a59282cab6ecb437202c98a0c8b4869388aaa,0xa90a33a27a7fb81cc934137326253a4f8de4c722,55
58,0x48de0f3f8e855ad6477208c7da49eb586be8d2e3,0xde038f1967b3de8cfa173a49bce866bd3ed4be80,56
59,0x08bcb426b8d686d835d07cb5f499ccd5e0c43644,0xa90a33a27a7fb81cc934137326253a4f8de4c722,57
60,0x05f24a3b4780cc30a1e27916d7458f23fed4448e,0xcba12260e0d713bb907bbe1fadada21a50a98578,58
69,0xee2a1096220252b87e29a55dc2794e8f3be9e668,0xf36f4a970531f7ca9c8e8cd6143af3d849434058,67
84,0x216b7e4c818c65b05ac768f02fa7030bc072d432,0xfa9f907649bece229d9f88aa1112c5fea9a9cdf1,82
102,0xc49ba4f97f476ada8bf36b670fdbb99f538954c4,0xe6d259063511b9750f3e96163ba7075a145e975b,100
103,0x34539c34b54d05c7e0af0146ca583e1d9b624b3b,0xa90a33a27a7fb81cc934137326253a4f8de4c722,101
500,0xbe1b9a1eecb2fe164d93d1961cd1b9cd45bb85f4,0xfa9f907649bece229d9f88aa1112c5fea9a9cdf1,498
785,0x0d583c12566f6b9c529ddb3d823cb368121c75cf,0xa90a33a27a7fb81cc934137326253a4f8de4c722,783
