User Name,Referrer_User Name,Current Level,Activation sequence,Activation_time,Total NFT claim
W1,D32,1,0,10/16/2025 0:00,
W2,D32,1,1,10/16/2025 0:03,
W3,D32,1,2,10/16/2025 0:06,
WW1,W1,1,3,10/16/2025 0:09,
WW2,WW1,1,4,10/16/2025 0:12,
WW3,WW1,1,5,10/16/2025 0:15,
WW4,WW1,1,6,10/16/2025 0:18,
WW5,WW4,1,7,10/16/2025 0:21,
WW6,WW5,1,8,10/16/2025 0:24,
WW7,WW5,1,9,10/16/2025 0:27,
WW8,WW5,1,10,10/16/2025 0:30,
V1,D29,1,11,10/16/2025 0:33,
V2,D29,1,12,10/16/2025 0:36,
V3,D29,1,13,10/16/2025 0:39,
V4,V2,1,14,10/16/2025 0:42,
V5,V2,1,15,10/16/2025 0:45,
V6,V2,1,16,10/16/2025 0:48,
V7,V6,1,17,10/16/2025 0:51,
V8,V6,1,18,10/16/2025 0:54,
V9,V6,1,19,10/16/2025 0:57,
V10,V7,1,20,10/16/2025 1:00,
V11,V7,1,21,10/16/2025 1:03,
V12,V7,1,22,10/16/2025 1:06,
X1,D27,1,23,10/16/2025 1:09,
X2,X1,1,24,10/16/2025 1:12,
X3,X1,1,25,10/16/2025 1:15,
X4,X1,1,26,10/16/2025 1:18,
X5,X2,1,27,10/16/2025 1:21,
X6,X5,1,28,10/16/2025 1:24,
X7,X5,1,29,10/16/2025 1:27,
X8,X5,1,30,10/16/2025 1:30,
X9,X4,1,31,10/16/2025 1:33,
X10,X9,1,32,10/16/2025 1:36,
X11,X9,1,33,10/16/2025 1:39,
X12,X9,1,34,10/16/2025 1:42,
X13,X12,1,35,10/16/2025 1:45,
X14,X13,1,36,10/16/2025 1:48,
X15,X13,1,37,10/16/2025 1:51,
X16,X13,1,38,10/16/2025 1:54,
Z1,D30,1,39,10/16/2025 1:57,
Z2,Z1,1,40,10/16/2025 2:00,
Z3,Z1,1,41,10/16/2025 2:03,
Z4,Z1,1,42,10/16/2025 2:06,
Z5,Z3,1,43,10/16/2025 2:09,
Z6,Z5,1,44,10/16/2025 2:12,
Z7,Z5,1,45,10/16/2025 2:15,
Z8,Z5,1,46,10/16/2025 2:18,
Z9,Z6,1,47,10/16/2025 2:21,
Z10,Z9,1,48,10/16/2025 2:24,
Z11,Z9,1,49,10/16/2025 2:27,
Z12,Z9,1,50,10/16/2025 2:30,
E1,D25,1,51,10/16/2025 2:33,
E2,E1,1,52,10/16/2025 2:36,
E3,E1,1,53,10/16/2025 2:39,
E4,E1,1,54,10/16/2025 2:42,
E5,E3,1,55,10/16/2025 2:45,
E6,E5,1,56,10/16/2025 2:48,
E7,E5,1,57,10/16/2025 2:51,
E8,E5,1,58,10/16/2025 2:54,
E9,E8,1,59,10/16/2025 2:57,
E10,E9,1,60,10/16/2025 3:00,
E11,E9,1,61,10/16/2025 3:03,
E12,E9,1,62,10/16/2025 3:06,
E13,E10,1,63,10/16/2025 3:09,
E14,E13,1,64,10/16/2025 3:12,
E15,E13,1,65,10/16/2025 3:15,
E16,E13,1,66,10/16/2025 3:18,
E17,E11,1,67,10/16/2025 3:21,
E18,E11,1,68,10/16/2025 3:24,
E19,E11,1,69,10/16/2025 3:27,
E20,E19,1,70,10/16/2025 3:30,
E21,E20,1,71,10/16/2025 3:33,
E22,E20,1,72,10/16/2025 3:36,
E23,E20,1,73,10/16/2025 3:39,
E24,E12,1,74,10/16/2025 3:42,
E25,E24,1,75,10/16/2025 3:45,
E26,E25,1,76,10/16/2025 3:48,
E27,E26,1,77,10/16/2025 3:51,
E28,E27,1,78,10/16/2025 3:54,
E29,E28,1,79,10/16/2025 3:57,
F1,D34,1,80,10/16/2025 4:00,
F2,F1,1,81,10/16/2025 4:03,
F3,F1,1,82,10/16/2025 4:06,
F4,F1,1,83,10/16/2025 4:09,
F5,F2,1,84,10/16/2025 4:12,
F6,F5,1,85,10/16/2025 4:15,
F7,F5,1,86,10/16/2025 4:18,
F8,F5,1,87,10/16/2025 4:21,
F9,F3,1,88,10/16/2025 4:24,
F10,F9,1,89,10/16/2025 4:27,
F11,F10,1,90,10/16/2025 4:30,
F12,F11,1,91,10/16/2025 4:33,
F13,F11,1,92,10/16/2025 4:36,
F14,F11,1,93,10/16/2025 4:39,
F15,F10,1,94,10/16/2025 4:42,
F16,F15,1,95,10/16/2025 4:45,
F17,F16,1,96,10/16/2025 4:48,
F18,F17,1,97,10/16/2025 4:51,
F19,F17,1,98,10/16/2025 4:54,
F20,F17,1,99,10/16/2025 4:57,
F21,F11,1,100,10/16/2025 5:00,
