User Name,Referrer_User Name,Current Level,Activation sequence,Activation_time,Total NFT claim
P1,P1,1,0,2025/10/15 0.00,
PP1,P1,1,1,2025/10/15 1.03,
PP2,PP1,1,2,2025/10/15 1.06,
PP3,PP2,1,3,2025/10/15 1.09,
PP4,PP3,1,4,2025/10/15 1.12,
PP5,PP4,1,5,2025/10/15 1.15,
PP6,PP5,1,6,2025/10/15 1.18,
PP7,PP6,1,7,2025/10/15 1.21,
PP8,PP7,1,8,2025/10/15 1.24,
PP9,PP8,1,9,2025/10/15 1.27,
PP10,PP9,1,10,2025/10/15 1.30,
PP11,PP10,1,11,2025/10/15 1.33,
PP12,PP11,1,12,2025/10/15 1.36,
PP13,PP12,1,13,2025/10/15 1.39,
PP14,PP13,1,14,2025/10/15 1.42,
PP15,PP14,1,15,2025/10/15 1.45,
PP16,PP15,1,16,2025/10/15 1.48,
PP17,PP16,1,17,2025/10/15 1.51,
PP18,PP17,1,18,2025/10/15 1.54,
PP19,PP18,1,19,2025/10/15 1.57,
PP20,PP19,1,20,2025/10/15 2.00,
A1,PP20,1,21,2025/10/15 2.03,
A2,PP20,1,22,2025/10/15 2.06,
A3,PP20,1,23,2025/10/15 2.09,
A4,PP20,1,24,2025/10/15 2.12,
A5,PP20,1,25,2025/10/15 2.15,
A6,PP20,1,26,2025/10/15 2.18,
A7,PP20,1,27,2025/10/15 2.21,
A8,PP20,1,28,2025/10/15 2.24,
A9,PP20,1,29,2025/10/15 2.27,
A10,PP20,1,30,2025/10/15 2.30,
A11,PP20,1,31,2025/10/15 2.33,
A12,PP20,1,32,2025/10/15 2.36,
B1,A8,1,33,2025/10/15 2.39,
B2,B1,1,34,2025/10/15 2.42,
B3,B1,1,35,2025/10/15 2.45,
B4,B1,1,36,2025/10/15 2.48,
B5,B1,1,37,2025/10/15 2.51,
B6,B2,1,38,2025/10/15 2.54,
B7,B2,1,39,2025/10/15 2.57,
B8,B2,1,40,2025/10/15 3.00,
B9,B1,1,41,2025/10/15 3.03,
B10,B1,1,42,2025/10/15 3.06,
B11,B1,1,43,2025/10/15 3.09,
B12,B1,1,44,2025/10/15 3.12,
B13,B1,1,45,2025/10/15 3.15,
B14,B1,1,46,2025/10/15 3.18,
B15,B1,1,47,2025/10/15 3.21,
B16,B2,1,48,2025/10/15 3.24,
B17,B2,1,49,2025/10/15 3.27,
B18,B2,1,50,2025/10/15 3.30,
B19,B2,1,51,2025/10/15 3.33,
B20,B5,1,52,2025/10/15 3.36,
B21,B6,1,53,2025/10/15 3.39,
B22,B7,1,54,2025/10/15 3.42,
B23,B5,1,55,2025/10/15 3.45,
B24,B2,1,56,2025/10/15 3.48,
B25,B6,1,57,2025/10/15 3.51,
B26,B6,1,58,2025/10/15 3.54,
B27,B6,1,59,2025/10/15 3.57,
B28,B26,1,60,2025/10/15 4.00,
B29,B28,1,61,2025/10/15 4.03,
B30,B28,1,62,2025/10/15 4.06,
B31,B28,1,63,2025/10/15 4.09,
B32,B15,1,64,2025/10/15 4.12,
B33,B15,1,65,2025/10/15 4.15,
B34,B15,1,66,2025/10/15 4.18,
B35,B25,1,67,2025/10/15 4.21,
B36,B25,1,68,2025/10/15 4.24,
B37,B25,1,69,2025/10/15 4.27,
C1,PP20,1,70,2025/10/15 4.30,
C2,C1,1,71,2025/10/15 4.33,
