wallet_address,referrer_wallet,current_level,activation_sequence,activation_time,total_nft_claimed
0x479ABda60F8c62a7C3fba411ab948a8BE0E616Ab,0x479ABda60F8c62a7C3fba411ab948a8BE0E616Ab,1,0,1/1/1970 0:00,1
0xfd91667229a122265aF123a75bb624A9C35B5032,0x479ABda60F8c62a7C3fba411ab948a8BE0E616Ab,1,1,3/1/2025 0:01,1
0x6c4C4E5702ed65c6F0fE84E45771Cb9c2e6196fd,0xfd91667229a122265aF123a75bb624A9C35B5032,1,2,3/1/2025 0:02,1
0x3C1FF5B4BE2A1FB8c157aF55aa6450eF66D7E242,0xfd91667229a122265aF123a75bb624A9C35B5032,2,3,3/1/2025 0:03,2
0x317cf121740E680E1Ba7EF93396e10b081b5419A,0x3C1FF5B4BE2A1FB8c157aF55aa6450eF66D7E242,2,4,3/1/2025 0:04,2
0x9D069295DE6B996a47F5eD683858009c977F159b,0x3C1FF5B4BE2A1FB8c157aF55aa6450eF66D7E242,5,5,3/1/2025 0:05,5
0xFC5afb6c72C37B6b6aC5ea1624AA7a10c0A6395e,0x3C1FF5B4BE2A1FB8c157aF55aa6450eF66D7E242,4,6,3/1/2025 0:06,4
0x777deD5a5b2795701543F256C69Dad2d5882E38D,0x317cf121740E680E1Ba7EF93396e10b081b5419A,1,7,3/1/2025 0:07,1
0xc55945723f8af33207e963Ca94bfA9294530f3a8,0x317cf121740E680E1Ba7EF93396e10b081b5419A,4,8,3/1/2025 0:08,4
0xDa0d1467Fe4C1d123c853d0B76dB5bd2677da669,0x317cf121740E680E1Ba7EF93396e10b081b5419A,2,9,3/1/2025 0:09,2
0x59D71bDE3719443C2bD784549Fb75466F57A6adA,0x9D069295DE6B996a47F5eD683858009c977F159b,2,10,3/1/2025 0:10,2
0xC3a44bFA5aE5EA64cb55556698b718215812D969,0x9D069295DE6B996a47F5eD683858009c977F159b,2,11,3/1/2025 0:11,2
0x89dC24b7c14C783B5c2556E85336815FC8fe8D0B,0x9D069295DE6B996a47F5eD683858009c977F159b,5,12,3/1/2025 0:12,5
0xd47BEa925782BF1855449E823eeCc2285420C046,0xFC5afb6c72C37B6b6aC5ea1624AA7a10c0A6395e,2,13,3/1/2025 0:13,2
0x525a1a15771f402aB178e09ffeAbFe756f4d5B8F,0xFC5afb6c72C37B6b6aC5ea1624AA7a10c0A6395e,2,14,3/1/2025 0:14,2
0xfB1569f476a2ca2926A1684AD9BBfcA7F4DbD5dc,0xFC5afb6c72C37B6b6aC5ea1624AA7a10c0A6395e,2,15,3/1/2025 0:15,2
0x653e28de466217679ef4CfA63ae083c5af88eD1a,0xfB1569f476a2ca2926A1684AD9BBfcA7F4DbD5dc,1,16,3/1/2025 0:16,1
0x2a7027eF01Cb3E270f05C96178B44a28790e6843,0xc55945723f8af33207e963Ca94bfA9294530f3a8,2,17,3/1/2025 0:17,2
0x3b28b6cae6bDd185733bC564780E4CfD9319a9D7,0xc55945723f8af33207e963Ca94bfA9294530f3a8,2,18,3/1/2025 0:18,2
0xB0E30C61Ec5B5E55d0139b3352d2CEcF86B78973,0xc55945723f8af33207e963Ca94bfA9294530f3a8,2,19,3/1/2025 0:19,2
0x5b24cc40EA53C19ca0B61BF5343341dcD1B0E33B,0x2a7027eF01Cb3E270f05C96178B44a28790e6843,6,20,3/1/2025 0:20,6
0x418BC82C46081Af1C153eB970044483681A881eC,0x3b28b6cae6bDd185733bC564780E4CfD9319a9D7,1,21,3/1/2025 0:21,1
0xf4c70edB2c668BC4831DEE18D009fb664a360249,0x3b28b6cae6bDd185733bC564780E4CfD9319a9D7,1,22,3/1/2025 0:22,1
0xb61C506b872F0493b83befe643C7b1fe6CA7B45e,0x5b24cc40EA53C19ca0B61BF5343341dcD1B0E33B,4,23,3/1/2025 0:23,4
0xD400f85443C923e12560D525Fc442dade6c7baf9,0x5b24cc40EA53C19ca0B61BF5343341dcD1B0E33B,3,24,3/1/2025 0:24,3
0x4Fa3A1f9d795AA698D29fa1AEB85bE06eC60c43E,0x5b24cc40EA53C19ca0B61BF5343341dcD1B0E33B,3,25,3/1/2025 0:25,3
0xeC80DD79B87778E930DCF3f53035DB1466a736c7,0x479ABda60F8c62a7C3fba411ab948a8BE0E616Ab,3,26,3/1/2025 0:26,3
0x668Dd27b997550f84f4C17fC1242feb573671A2A,0x479ABda60F8c62a7C3fba411ab948a8BE0E616Ab,3,27,3/1/2025 0:27,3
0xd435961EA8324499d7fccc82059aa538E51818e8,0xb61C506b872F0493b83befe643C7b1fe6CA7B45e,2,28,3/1/2025 0:28,2
0x8A4a0F6480FE788702526767b75737e01D300665,0xD400f85443C923e12560D525Fc442dade6c7baf9,2,29,3/1/2025 0:29,2
0x515cf9CEB6BcA3Eaf231C2C005042CD9eeF4D01d,0xD400f85443C923e12560D525Fc442dade6c7baf9,2,30,3/1/2025 0:30,2
0x646745bFE2287c15a3671810e14C6892956298C4,0xD400f85443C923e12560D525Fc442dade6c7baf9,2,31,3/1/2025 0:31,2
0x8881cCB9f47e32183D0ef636d73382238915ba97,0x4Fa3A1f9d795AA698D29fa1AEB85bE06eC60c43E,2,32,3/1/2025 0:32,2
0xb6F43C4441E50da0F14280e28F4984aCaF24a87F,0x4Fa3A1f9d795AA698D29fa1AEB85bE06eC60c43E,2,33,3/1/2025 0:33,2
0xdd8B5E7AE02253Ae5770B1E8A60cd0f55B10c247,0x4Fa3A1f9d795AA698D29fa1AEB85bE06eC60c43E,2,34,3/1/2025 0:34,2
0xD8B3f7aFB162DE89865318369235775cbcf21D59,0x668Dd27b997550f84f4C17fC1242feb573671A2A,1,35,3/1/2025 0:35,1
0x92f5b3ef70E2a8542AFdC162b4c6c42f0f69b619,0x8881cCB9f47e32183D0ef636d73382238915ba97,1,36,3/1/2025 0:36,1
0xbe3d84Af8DCda26fD1eDbeED3DCc4dC4EDBD23AF,0x646745bFE2287c15a3671810e14C6892956298C4,2,37,3/1/2025 0:37,2
0x16f51c75D9a9d50f35e11f15A22A59d30e985Ac5,0xdd8B5E7AE02253Ae5770B1E8A60cd0f55B10c247,4,38,3/1/2025 0:38,4
0xDC17f3440328F3984dE8908342dfcc9b8234E6B2,0x16f51c75D9a9d50f35e11f15A22A59d30e985Ac5,2,39,3/1/2025 0:39,2
0x393A3835D718c7CD696E064fC74a28847510ac3E,0xDC17f3440328F3984dE8908342dfcc9b8234E6B2,1,40,3/1/2025 0:40,1
0x5e2C3Cf99b39b4906dB22Fa0FC667bc5Daf896fD,0xD8B3f7aFB162DE89865318369235775cbcf21D59,2,41,3/1/2025 0:41,2
0xb4413d5B4BD82d500eC82BC6711ED42135C1E84d,0x5e2C3Cf99b39b4906dB22Fa0FC667bc5Daf896fD,1,42,3/16/2025 7:22,1
0x0A69389Ff2b8375D88C36434719d9478F949ebaD,0x5e2C3Cf99b39b4906dB22Fa0FC667bc5Daf896fD,1,43,3/16/2025 7:23,1
0x37a214BF4a121AA33e513EA3B7bBAefF00da96cc,0x5e2C3Cf99b39b4906dB22Fa0FC667bc5Daf896fD,1,44,3/16/2025 7:24,1
0x096A3fCE8eC1C0Ad254f817c75aB6eC4f37C7898,0x3C1FF5B4BE2A1FB8c157aF55aa6450eF66D7E242,4,45,3/7/2025 6:53,4
0x3d75B2386C20dc35624E8cAd0EAe7fa055459B82,0x3C1FF5B4BE2A1FB8c157aF55aa6450eF66D7E242,2,46,3/7/2025 4:48,2
0x7987b5368CE029C642280F25fA7ED7073Bd5da67,0x3C1FF5B4BE2A1FB8c157aF55aa6450eF66D7E242,1,47,3/8/2025 9:38,1
