User Name,Referrer_User Name,Current Level,Activation sequence,Activation_time,Total NFT claim
BHKKPG3,BHKKPG3,1,0,2025/10/15 0.00,
BHKKK1,BHKKPG3,1,1,2025/10/15 1.03,
BHKKK2,BHKKK1,1,2,2025/10/15 1.06,
BHKKK3,BHKKK2,1,3,2025/10/15 1.09,
BHKKK4,BHKKK3,1,4,2025/10/15 1.12,
BHKKK5,BHKKK4,1,5,2025/10/15 1.15,
BHKKK6,BHKKK5,1,6,2025/10/15 1.18,
BHKKK7,BHKKK6,1,7,2025/10/15 1.21,
BHKKK8,BHKKK7,1,8,2025/10/15 1.24,
BHKKK9,BHKKK8,1,9,2025/10/15 1.27,
BHKKK10,BHKKK9,1,10,2025/10/15 1.30,
BHKKK11,BHKKK10,1,11,2025/10/15 1.33,
BHKKK12,BHKKK11,1,12,2025/10/15 1.36,
BHKKK13,BHKKK12,1,13,2025/10/15 1.39,
BHKKK14,BHKKK13,1,14,2025/10/15 1.42,
BHKKK15,BHKKK14,1,15,2025/10/15 1.45,
BHKKK16,BHKKK15,1,16,2025/10/15 1.48,
BHKKK17,BHKKK16,1,17,2025/10/15 1.51,
BHKKK18,BHKKK17,1,18,2025/10/15 1.54,
BHKKK19,BHKKK18,1,19,2025/10/15 1.57,
BHKKK20,BHKKK19,1,20,2025/10/15 2.00,
BHKKKAA1,BHKKK19,2,21,2025/10/15 2.03,
BHKKLOL1,BHKKK20,1,22,2025/10/15 2.06,
BHKKLOL2,BHKKK20,1,23,2025/10/15 2.09,
BHKKLOL3,BHKKLOL1,2,24,2025/10/15 2.12,
BHKKLOL4,BHKKLOL1,1,25,2025/10/15 2.15,
BHKKLOL5,BHKKLOL3,1,26,2025/10/15 2.18,
BHKKLOL6,BHKKLOL3,1,27,2025/10/15 2.21,
BHKKLOL7,BHKKLOL3,1,28,2025/10/15 2.24,
BHKKLOL8,BHKKLOL3,1,29,2025/10/15 2.27,
BHKKLOL9,BHKKLOL3,1,30,2025/10/15 2.30,
BHKKLOL10,BHKKLOL3,1,31,2025/10/15 2.33,
BHKKLOL11,BHKKLOL3,1,32,2025/10/15 2.36,
BHKKLOL12,BHKKLOL3,1,33,2025/10/15 2.39,
BHKKLOL13,BHKKLOL3,1,34,2025/10/15 2.42,
BHKK1310,BHKKLOL13,2,35,2025/10/15 2.45,
BHKKGG2,BHKKLOL13,1,36,2025/10/15 2.48,
BHKKGG3,BHKKLOL13,1,37,2025/10/15 2.51,
BHFTKK,BHKKAA1,1,38,2025/10/15 2.54,
BHFTKK1,BHKKAA1,1,39,2025/10/15 2.57,
BHFTKK2,BHKKAA1,1,40,2025/10/15 3.00,
FT1,BHFTKK2,1,41,2025/10/15 3.03,
FT2,FT1,1,42,2025/10/15 3.06,
FT3,FT1,1,43,2025/10/15 3.09,
FT5,FT2,1,44,2025/10/15 3.12,
FT6,FE3,1,45,2025/10/15 3.15,
FFT1,FT6,2,46,2025/10/15 3.18,
FFT2,FFT1,1,47,2025/10/15 3.21,
FFT3,FFT1,1,48,2025/10/15 3.24,
FFT4,FFT1,1,49,2025/10/15 3.27,
FFT5,FFT2,2,50,2025/10/15 3.30,
FFT6,FFT2,1,51,2025/10/15 3.33,
FFT7,FFT2,1,52,2025/10/15 3.36,
FFT8,FFT5,1,53,2025/10/15 3.39,
FFT9,FFT5,1,54,2025/10/15 3.42,
FFT10,FFT5,1,55,2025/10/15 3.45,
FFT11,FFT10,1,56,2025/10/15 3.48,
FFT12,FFT10,1,57,2025/10/15 3.51,
FFT13,FFT10,2,58,2025/10/15 3.54,
FFT14,FFT13,1,59,2025/10/15 3.57,
FFT15,FFT13,2,60,2025/10/15 4.00,
FFT16,FFT13,1,61,2025/10/15 4.03,
FFT17,FFT15,1,62,2025/10/15 4.06,
FFT18,FFT15,1,63,2025/10/15 4.09,
FFT19,FFT15,1,64,2025/10/15 4.12,
FFT20,FFT15,1,65,2025/10/15 4.15,
FFT21,FFT15,1,66,2025/10/15 4.18,
FFT22,FFT15,2,67,2025/10/15 4.21,
FFT23,FFT15,1,68,2025/10/15 4.24,
FFT24,FFT22,1,69,2025/10/15 4.27,
FFT25,FFT22,1,70,2025/10/15 4.30,
FFT26,FFT22,1,71,2025/10/15 4.33,
